Variable	PEN	PEN_TMD	TMD_MAC_PEN	TMD_PEN	TMD_PEN_MAC
fig.623.1303.peg.1400	0	0.06472846659867537	0	0	0
fig.623.1303.peg.197	0	0	0.04783804366252947	0	0
fig.623.1303.peg.2081	0	0	0	-0.022362860832745395	0
fig.623.1303.peg.3123	0	0.015497851091086806	0	0	0
fig.623.1303.peg.4151	0	-3.9394028117658886e-4	0	0	0
fig.623.1304.peg.4075	0	0	0.024000957216662136	0	0
fig.623.1305.peg.1181	0	0	0	5.206747957167845e-4	0
fig.623.1305.peg.1182	0	0	0	3.6171388627633205e-4	0
fig.623.1305.peg.1183	0	0	0	2.906186683197459e-4	0
fig.623.1305.peg.1186	0	0	0	2.582129636376317e-4	0
fig.623.1305.peg.1193	0	0	0	2.4140857724315356e-4	0
fig.623.1305.peg.1196	0	0	0	2.3057551128824314e-4	0
fig.623.1305.peg.1203	0	0	0	2.1934181466826372e-4	0
fig.623.1305.peg.1207	0	0	0	2.0388097073042937e-4	0
fig.623.1305.peg.1208	0	0	0	1.831195718168037e-4	0
fig.623.1305.peg.1330	0	0.2992183490578582	0	0	0
fig.623.1305.peg.3922	-0.044469074219685184	0	0	0	0
fig.623.1305.peg.4443	0	0.040280808230774914	0	0	0
fig.623.1307.peg.3890	0	0	0	0.02256777972055867	0
fig.623.1307.peg.4441	0	0	0	0.022598489380903353	0
fig.623.1307.peg.4442	0	0	0	0.022532927238648425	0
fig.623.1307.peg.4529	0	0	0	0.0224257069169994	0
fig.623.1307.peg.4531	0	0	0	0.022294709125652568	0
fig.623.1307.peg.4742	0	0	0	0.022142767445675244	0
fig.623.1308.peg.1178	0	0	0	0.018951204667553963	0
fig.623.1309.peg.2114	0	0	0	0	0.07885576669296984
fig.623.1309.peg.4370	0	0.04156970924127968	0	0	0
fig.623.1312.peg.4373	0.015618355556982193	0	0	0	0
fig.623.1316.peg.4420	0.026494164940629544	0	0	0	0
fig.623.1317.peg.125	0	0	0	0	0.22089759822315613
fig.623.1317.peg.4597	0	0	0.005560894670895418	0	0
fig.623.1317.peg.4705	0	0.03297662264200035	0	0	0
